store_num,product_id,upc,regular_price,sale_price,multi_buy,multi_price,promo_text,sale_start,sale_end,unit_price,unit_size
22865,,,,5.99,,,"16 oz. Frozen
Wild Coldwater","October 5, 2025","October 11, 2025",,
22865,,,,7.99,,,"Heat &amp; Eat, Frozen","October 5, 2025","October 11, 2025",,
22865,,,,7.59,,,"10 oz. pkg. 4 Varieties
Frozen","October 5, 2025","October 11, 2025",,
22865,,,,5.59,,,2 lb. bag,"October 5, 2025","October 11, 2025",,
22865,,,,7.99,,,"16 oz. Frozen
Product of Portugal","October 5, 2025","October 11, 2025",,
22865,,,,5.99,,,16 oz. Frozen,"October 5, 2025","October 11, 2025",,
22865,,,,3.99,,,16 oz. pkg. Frozen,"October 5, 2025","October 11, 2025",,
22865,,,,4.99,,,"12 oz. Frozen, Wild all natural","October 5, 2025","October 11, 2025",,
22865,,,,10.99,,,12 oz. bag Frozen,"October 5, 2025","October 11, 2025",,
22865,,,,2.99,,,"5-6 oz. Original,
Fat-Free","October 5, 2025","October 11, 2025",,
22865,,,,5.99,,,14 oz.,"October 5, 2025","October 11, 2025",,
22865,,,,3.99,,,"8 oz. bag
4 Varieties","October 5, 2025","October 11, 2025",,
22865,,,,3.99,,,7.6 oz. pkg. 6 Varieties,"October 5, 2025","October 11, 2025",,
22865,,,,3.99,,,6 oz.,"October 5, 2025","October 11, 2025",,
22865,,,,3.99,,,"8 oz. Mozzarella, Bourbon Gouda","October 5, 2025","October 11, 2025",,
22865,,,,4.49,,,8.5 oz.,"October 5, 2025","October 11, 2025",,
22865,,,,3.99,,,"8 oz. pkg.
Cut Fresh in Store","October 5, 2025","October 11, 2025",,
22865,,,,5.99,,,"8 oz. 3 Varieties
USDA Organic","October 5, 2025","October 11, 2025",,
22865,,,,3.99,,,10 oz. 9 Varieties,"October 5, 2025","October 11, 2025",,
22865,,,,18.99,,,Cave Aged 11 Months,"October 5, 2025","October 11, 2025",,
22865,,,,2.99,,,5.3 oz. Pkg. Made From Fresh Goat's Milk,"October 5, 2025","October 11, 2025",,
22865,,,,5.99,,,,"October 5, 2025","October 11, 2025",,
22865,,,,3.99,,,7 oz. Imported,"October 5, 2025","October 11, 2025",,
22865,,,,13.99,,,"Cut Fresh in Store
Made in MA","October 5, 2025","October 11, 2025",,
22865,,,,3.99,,,21 oz. 4 Pack,"October 5, 2025","October 11, 2025",,
22865,,,,3.99,,,18-24 oz. 4 Pack,"October 5, 2025","October 11, 2025",,
22865,,,,3.99,,,4 Pack 5.3 oz.,"October 5, 2025","October 11, 2025",,
22865,,,,3.99,,,4 Pack,"October 5, 2025","October 11, 2025",,
22865,,,,3.29,,,"32 oz. btl.
Organic $5.59","October 5, 2025","October 11, 2025",,
22865,,,,5.0,,,"6 oz. cup. Light, Whips 4 oz.","October 5, 2025","October 11, 2025",,
22865,,,,2.0,,,8 oz. cup. 11 Varieties,"October 5, 2025","October 11, 2025",,
22865,,,,2.19,,,"16 oz.  Original, Light
Squeeze 14 oz.","October 5, 2025","October 11, 2025",,
22865,,,,2.0,,,2% 16 oz.,"October 5, 2025","October 11, 2025",,
22865,,,,2.99,,,15 oz. pkg. Spray 8 oz.,"October 5, 2025","October 11, 2025",,
22865,,,,2.99,,,"12 oz. 6 Pack
2 Varieties","October 5, 2025","October 11, 2025",,
22865,,,,2.0,,,6.5-8 oz. 5 Varieties,"October 5, 2025","October 11, 2025",,
22865,,,,2.0,,,24 oz. cont.,"October 5, 2025","October 11, 2025",,
22865,,,,3.99,,,9-12.7 oz. pkg.,"October 5, 2025","October 11, 2025",,
22865,,,,2.99,,,"15 oz. pkg. 
Spray 8 oz.","October 5, 2025","October 11, 2025",,
22865,,,,2.99,,,"6-8 oz. bar,","October 5, 2025","October 11, 2025",,
22865,,,,2.99,,,7-8 oz. 5 Varieties,"October 5, 2025","October 11, 2025",,
22865,,,,2.0,,,12 oz. 4 Varieties,"October 5, 2025","October 11, 2025",,
22865,,,,2.99,,,8 oz. pkg.,"October 5, 2025","October 11, 2025",,
22865,,,,3.99,,,32 oz.,"October 5, 2025","October 11, 2025",,
22865,,,,3.99,,,24 oz. 9 Varieties,"October 5, 2025","October 11, 2025",,
22865,,,,4.69,,,"40-48 oz. btl.
All Varieties","October 5, 2025","October 11, 2025",,
22865,,,,2.0,,,52 oz. cont. ,"October 5, 2025","October 11, 2025",,
22865,,,,3.99,,,"64 oz. pkg.
100% Real Dairy without the Lactose","October 5, 2025","October 11, 2025",,
22865,,,,3.99,,,"Large 1 Dozen
Local, Pasture-Raised","October 5, 2025","October 11, 2025",,
22865,,,,2.0,,,5 Varieties 6.7 oz.,"October 5, 2025","October 11, 2025",,
22865,,,,6.99,,,22.29 oz. Frozen,"October 5, 2025","October 11, 2025",,
22865,,,,5.49,,,17.7-30.88 oz. Frozen,"October 5, 2025","October 11, 2025",,
22865,,,,2.0,,,"12.84-16 oz. pkg. Frozen
6 Varieties","October 5, 2025","October 11, 2025",,
22865,,,,2.0,,,"11.25-16 oz.
Mozzarella Cheese Stick","October 5, 2025","October 11, 2025",,
22865,,,,3.99,,,18.25 oz. Frozen,"October 5, 2025","October 11, 2025",,
22865,,,,2.0,,,11 oz. Frozen,"October 5, 2025","October 11, 2025",,
