"Store","Folder","Date","Action","Destination"
"stop_and_shop","101225","2025-10-12","DRYRUN","D:\deals-4me-archive\flyers\stop_and_shop\101225"
"stop_and_shop","100525","2025-10-05","DRYRUN","D:\deals-4me-archive\flyers\stop_and_shop\100525"
"stop_and_shop_ct","110525","2025-11-05","DRYRUN","D:\deals-4me-archive\flyers\stop_and_shop_ct\110525"
"stop_and_shop_ct","110325","2025-11-03","DRYRUN","D:\deals-4me-archive\flyers\stop_and_shop_ct\110325"
"stop_and_shop_ct","110225","2025-11-02","DRYRUN","D:\deals-4me-archive\flyers\stop_and_shop_ct\110225"
"stop_and_shop_ct","110125","2025-11-01","DRYRUN","D:\deals-4me-archive\flyers\stop_and_shop_ct\110125"
"stop_and_shop_ct","103025","2025-10-30","DRYRUN","D:\deals-4me-archive\flyers\stop_and_shop_ct\103025"
"stop_and_shop_ct","102925","2025-10-29","DRYRUN","D:\deals-4me-archive\flyers\stop_and_shop_ct\102925"
"stop_and_shop_ct","102625","2025-10-26","DRYRUN","D:\deals-4me-archive\flyers\stop_and_shop_ct\102625"
"stop_and_shop_mari","110525","2025-11-05","DRYRUN","D:\deals-4me-archive\flyers\stop_and_shop_mari\110525"
"stop_and_shop_mari","110325","2025-11-03","DRYRUN","D:\deals-4me-archive\flyers\stop_and_shop_mari\110325"
"stop_and_shop_mari","110225","2025-11-02","DRYRUN","D:\deals-4me-archive\flyers\stop_and_shop_mari\110225"
"stop_and_shop_mari","110125","2025-11-01","DRYRUN","D:\deals-4me-archive\flyers\stop_and_shop_mari\110125"
"stop_and_shop_mari","103025","2025-10-30","DRYRUN","D:\deals-4me-archive\flyers\stop_and_shop_mari\103025"
"stop_and_shop_mari","102925","2025-10-29","DRYRUN","D:\deals-4me-archive\flyers\stop_and_shop_mari\102925"
"stop_and_shop_mari","102625","2025-10-26","DRYRUN","D:\deals-4me-archive\flyers\stop_and_shop_mari\102625"
"stopandshop","110525","2025-11-05","DRYRUN","D:\deals-4me-archive\flyers\stopandshop\110525"
"stopandshop","110325","2025-11-03","DRYRUN","D:\deals-4me-archive\flyers\stopandshop\110325"
"stopandshop","110225","2025-11-02","DRYRUN","D:\deals-4me-archive\flyers\stopandshop\110225"
"stopandshop","110125","2025-11-01","DRYRUN","D:\deals-4me-archive\flyers\stopandshop\110125"
"stopandshop","103125","2025-10-31","DRYRUN","D:\deals-4me-archive\flyers\stopandshop\103125"
"stopandshop","103025","2025-10-30","DRYRUN","D:\deals-4me-archive\flyers\stopandshop\103025"
"stopandshop","102925","2025-10-29","DRYRUN","D:\deals-4me-archive\flyers\stopandshop\102925"
"stopandshop","102625","2025-10-26","DRYRUN","D:\deals-4me-archive\flyers\stopandshop\102625"
